Database_ID,Database_Name,Associated_Subjects,Original_Description_HTML,Rewritten_Description_A_HTML,Rewritten_Description_B_HTML,Database_URL,
2361493,ABI/INFORM Complete,Accounting and Tax;Business;Economics;Asian American Studies;Chicana & Chicano Studies;Communications;Human Communication;Latin American Studies;Management;Marketing;Cinema and Television Arts;International Business;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; A comprehensive business database via ProQuest that includes book reviews, dissertations, newspapers, magazines, reference/reports, scholarly journals, and trade publications. It features over 4,000 journals and offers access to more than 2,900 full-text titles spanning business and economic conditions, corporate strategies, management techniques, and competitive and product information. This database includes access to ABI/INFORM Dateline, ABI/INFORM Global, and ABI/INFORM Trade &amp; Industry.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.proquest.com/abicomplete/advanced?accountid=9840,
2530821,OmniFile Full Text Mega,Counseling;English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communication Sciences and Disorders;Criminal Justice;Education;Aging Studies;Human Services;Latin American Studies;Social Work;Political Science;Anthropology;General Research;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; A multidisciplinary database covering applied sciences, art, education, humanities, law, social sciences, business and technology.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=ofm,
7230986,Academic Search Premier,Public Health;Child & Adolescent Studies;Counseling;English and Comparative Literature;Asian American Studies;Chemistry & Biochemistry;Chicana & Chicano Studies;Communications;Communication Sciences and Disorders;Computer Science;Criminal Justice;Education;Engineering;Geological Sciences;Aging Studies;Human Communication;Human Services;Latin American Studies;Linguistics;Instructional Design and Technology;Music;Cinema and Television Arts;Social Work;TESOL;Theatre;Political Science;Anthropology;Biological Science;General Research;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology;Linguistic Anthropology;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; General database via EBSCO that covers a wide range of research resources, including core subjects such as applied science, art, education, humanities, law, social science, business, and technology. A good place to start research.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=aph,
7230988,ACLS Humanities E-book,English and Comparative Literature;Asian American Studies;Religious Studies;History;Gender and Sexuality Studies;Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Database accessible via Fulcrum website. E-books in the humanities, including history, literature, religion, art history, women's studies, area studies, political science and philosophy. Historical periods include most parts of the world and most time periods.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.fulcrum.org/heb,
7230989,ACM Digital Library,Computer Science;Engineering,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Database accessible via ACM. A collection of journals, magazines and conference proceedings relating to computing, software, hardware, computational theory, AI, information science, human-computer interaction and instruction al technology.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://portal.acm.org/dl.cfm?coll=portal&dl=ACM,
7230991,AgeLine,Public Health;Counseling;Asian American Studies;Chicana & Chicano Studies;Aging Studies;Human Services;Latin American Studies;Social Work;Sociology;Anthropology;Cultural Anthropology;Evolutionary Anthropology,"AgeLine is available via EBSCO and it focuses exclusively on the population aged 50+ and issues of aging, presenting the literature of social gerontology and aging-related content from the health sciences, psychology, sociology, social work, economics, and public policy. This database indexes over 600 journals, books, book chapters, reports, dissertations, consumer guides, and educational videos.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=gnh,
7230992,AGRICOLA,Anthropology,"AGRICOLA provides citations for journal articles, monographs, proceedings, theses, patents, translations, audiovisual materials, computer software, and technical reports pertaining to all aspects of agriculture. Coverage is from 1970 to present.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://agricola.nal.usda.gov/,
7230993,America: History and Life,English and Comparative Literature;American Studies;Asian American Studies;Chicana & Chicano Studies;History;Linguistics;Cinema and Television Arts;TESOL;Anthropology;Archaeological Anthropology;Cultural Anthropology,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;This EBSCO database covers United States and Canadian history and culture from prehistoric times to the present. The database indexes journal articles, books, book reviews, media reviews, and dissertations. CLIO Notes provides chronologies and hundreds of brief summaries of significant events and themes in American history.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=ahl,
7230994,American Chemical Society Publications,Chemistry & Biochemistry,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; American Chemical Society Publications provides full-text coverage of scholarly journals published by the American Chemical Society (ACS), a leading publisher of peer-reviewed research journals in chemistry. ACS Publications covers all disciplines of chemistry, including applied chemistry, chemical engineering, organic chemistry, physical chemistry, analytical chemistry, biochemistry chemistry, macromolecular chemistry, and medicinal chemistry.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://pubs.acs.org/,
7230995,American Civil War Letters and Diaries,American Studies;History,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This database is available via Alexander Street. Firsthand descriptions of all aspects of the Civil War between 1855 and 1875, including events leading up to the war, the war itself, and events immediately following it. The writings are from people from all walks of life, inside and outside of the military, famous and unknown. 'Civil War Day-by-Day: An Almanac,' allows the user to find documents written on specific days or range of days.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.alexanderstreet.com/cwld,
7230998,"Americas Historical Newspapers, 1690 - 1922",American Studies;Asian American Studies;History;Communications--Journalism,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This database is available via Readex. Newspapers from all 50 states from the late 17th up to early 20th centuries. Search by dates and eras, article types (e.g. news/opinion, birth notices, etc.), place of publication.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://infoweb.newsbank.com/?db=EANX,
7230999,Annual Reviews,Counseling;Human Services;Social Work;Anthropology;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; The database of review literature for more than 40 focused disciplines within the biomedical, life, physical, and social sciences. Since 1932, Annual Reviews, a nonprofit scientific publisher, has provided comprehensive, timely collections of critical reviews written by leading scientists.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.annualreviews.org/,
7231000,Anthropology Plus,Asian American Studies;Chicana & Chicano Studies;Latin American Studies;Linguistics;Anthropology;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology;Linguistic Anthropology,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;This database is available on EBSCO and covers all areas in anthropology, including social, cultural, physical, biological, medical, linguistic, applied, political, and visual anthropology; ethnography, ethnology, archaeology, folklore, human ecology, museum studies, material culture, and primatology. It indexes journal articles, reports, commentaries, edited works, and obituaries published in over 2500 journals and edited works in English and other European languages. Limited to 10 simultaneous users.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=ant,
7231001,AnthroSource,Asian American Studies;Anthropology;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; This database is available via Wiley platform. A full-text archive of all American Anthropological Association (AAA) journals, newsletters, bulletins, and books. Links to older issues via JSTOR.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://anthrosource.onlinelibrary.wiley.com/,
7231003,ArchiveGrid,Asian American Studies;Anthropology;Archaeological Anthropology;Cultural Anthropology,"Indexes almost a million descriptions of archival collections held by more than 2,500 libraries, museums, historical societies and archives worldwide. The detailed, archival collection descriptions have been written by archivists. Subject strengths include history, humanities, art, social sciences, and genealogy. Search results include the title of the collection, holding institution, brief description, and a link to an extended description.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://researchworks.oclc.org/archivegrid/,
7231004,Art Full Text - 1984-present,Art;Asian American Studies;Chicana & Chicano Studies;Latin American Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Available via EBSCO. Art-related topics found in journals and magazine articles, many full text. Coverage includes English and foreign language journals. Can search for specific art reproductions.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=aft,
7231005,Art Index Retrospective - 1929-1984,Art;Asian American Studies,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt; Art Index is available via EBSCO with historical coverage of the literature covering fine, decorative, and commercial art. Includes resources from 600+ journals. Limited to 2 simultaneous users.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=air,
7231007,ARTbibliographies Modern,Art;Asian American Studies;Chicana & Chicano Studies;Latin American Studies,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Art resources from journals, books, exhibition catalogs, dissertations, and exhibition reviews covering all forms of modern and contemporary art.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.proquest.com/artbibliographies/advanced?accountid=9840,
7231008,ARTFL,Modern Languages & Literatures,"&lt;p&gt;2000 texts in French, ranging from classic works of literature to various kinds of non-fiction prose and technical writing. The eighteenth, nineteenth and twentieth centuries are about equally represented, with some medieval and Renaissance texts. A Provencal database includes 38 texts in their original spellings.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://artfl-project.uchicago.edu/artfl-resources/subscription-databases,
7231009,ARTstor,Art;Asian American Studies;Theatre,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Database available via ARTstor. Digital images of works of art with accompanying information including size and ownership.  Includes over one million images in the areas of art, architecture, and the humanities.  Technical requirements http://www.artstor.org/using-artstor/u-html/requirements.shtml NOTE 1: Pop-up blocking software must be disabled. NOTE 2: Requires Flash 6 or higher.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://library.artstor.org/,
